"Factor","Correlation_with_Satisfaction","Direction","Strength"
"distance_to_center_miles",-0.517,"Negative","Strong"
"noise_level",-0.378,"Negative","Moderate"
"avg_room_rate",-0.374,"Negative","Moderate"
"staff_per_room",0.263,"Positive","Weak"
"checkin_time_min",-0.141,"Negative","Weak"
"room_size_sqft",0.128,"Positive","Weak"
"wifi_free",0.119,"Positive","Weak"
"online_rating_prev",0.08,"Positive","Very Weak"
"hotel_id",-0.077,"Negative","Very Weak"
"restaurant_count",0.073,"Positive","Very Weak"
"nearby_attractions",0.058,"Positive","Very Weak"
"room_service_available",-0.05,"Negative","Very Weak"
"minibar_markup_pct",0.047,"Positive","Very Weak"
"gym_quality_score",0.015,"Positive","Very Weak"
"response_to_reviews",0.011,"Positive","Very Weak"
"pool_available",0.009,"Positive","Very Weak"
